字	廣韻字號	小韻號	IPA	Baxter Sagart gloss (rough meaning only)	廣韻 gloss
𥋏	24033	3694	tɕɨk		油敗
𥋙	24814	3801	ŋɑp		𥋙睡
𥋝	7555	863	mɣaŋ		𥋝盯直視
𥋝	7741	891	mɣɛŋ		𥋝盯
𥋝	13537	1865	mɣa̋ŋ		𥋝盯視皃
𥋱	21088	3305	mjit		𥋱𥋱不測也
𥋿	23342	3616	hɣak		目赤
𥌂	5185	589	men		上同矏爾雅曰密也
𥌄	21691	3384	kʰwot		目突𥌄
𥌈	9732	1148	kɣam		視也
𥌈	19874	3169	kɣamʱ		瞻也
𥌊	17812	2687	bɣɛnʱ		小見
𥌊	17815	2688	pʰɣɛnʱ		小兒白眼視也
𥌛	2926	298	le		𥌛視
𥌨	22448	3482	met		𥌨頡
𥌭	5245	595	ɦwen		自童子也
𥌭	5431	620	hjwien		目童子也
𥌭	12178	1613	ɦwe̋n		目童子又胡㳙切
𥌮	23826	3675	lek		𥌮𥉶視明皃
𥌯	7743	891	mɣɛŋ		𥉸𥌯視不分明
𥌰	1481	166	jwi		目病
𥌺	22778	3540	jiɑk		𥌎𥌺視皃
𥍉	24867	3811	ɕiep		目動之皃
𥍔	1496	167	lwi		視皃
𥍟	24020	3692	hwek		矛也呼狊切七
𥍠	24013	3691	hek		矛也左思吳都賦云長𥍠短兵亦作𥍟
𥍫	7316	838	lɑŋ		短矛
𥍭	16299	2402	tɕieiʱ		矛也
𥍯	9029	1045	tsʰim		錐也
𥍯	9129	1058	tsim		錐也
𥍰	23945	3682	kʰek		矛也
𥍷	698	72	tʂʰɣɔŋ		上同鏦短矛也
𥍸	6903	789	dʑia		並上同鉈短矛又音夷
𥍹	11681	1518	kiɐ̋n		矛
𥎂	605	62	nʑiowŋ		𥍮𥎂矛也
𥎆	16562	2446	kʰɑiʱ		矛屬
𥎊	3819	413	ɡin		矛柄也又鉏耰也古作矜巨巾切五
𥎊	4244	466	ɡiɨn		矛柄古作矜
